"Hora de saida",Cliente,Artesão,Preço,Produto,"Hora de chegada",Cartão,Espécie,Quantidade
"1993-07-31 16:00:51","Felipe Filipe Soares","Gabriel Saito Faria Sobrinho",669600,iure,"1998-07-03 09:54:51",,1,35649687
"2020-03-08 04:45:52","Paola Amélia Cervantes Sobrinho","Viviane Thaís Maia Jr.",5532,qui,"1987-12-05 06:46:57",,1,713
"1989-07-29 06:01:01","Gisele Velasques Mendonça Filho","Dr. César Arruda Ferreira",2147,qui,"2006-03-10 17:03:23",,,930272
"2004-10-05 14:27:41","Marco Molina","Srta. Thalia Souza Estrada",7135,cumque,"2009-05-25 16:59:51",,,55056
"2005-11-17 19:51:42","Luciana Ramires Ramos Filho","Sr. Augusto Saraiva",38495496,a,"2000-03-06 06:28:53",,1,43
"2021-06-27 12:54:31","Paulo Camacho Sobrinho","Srta. Lúcia Galindo Furtado Filho",651727434,maxime,"1982-02-19 19:17:07",1,,3906207
"1989-04-05 08:37:42","Juliano Soares Meireles","Alan Vicente Guerra Neto",32,quas,"1990-07-26 11:24:26",,1,760303
"1986-07-25 09:33:17","Dr. Benício Brito Fonseca","Lia Maya Pedrosa",290,labore,"1979-04-15 06:32:26",1,1,331
"1995-06-22 00:55:22","Denise Valentin","Maísa Vega Sepúlveda Jr.",17613198,distinctio,"2003-11-12 15:15:46",,,96535
"2014-03-22 08:59:53","Juliana Rodrigues Barros","Sr. Téo Tamoio Perez Neto",39157,sint,"1988-08-07 15:40:09",1,,6
"2005-07-16 19:29:01","Sra. Lavínia Cruz Sobrinho","Dr. Alícia Luciana Fernandes Filho",678182,omnis,"1981-08-20 05:28:54",1,1,4
"2000-08-08 19:41:30","Dr. Luara Verdugo Mendes Sobrinho","Rayane Marta Aranda Jr.",79958476,qui,"1999-01-21 01:50:04",1,1,910
"2006-09-01 17:05:57","Alice Galhardo Marés Sobrinho","Madalena Emília Souza",23350,possimus,"1970-12-22 05:18:55",1,,40937111
"2003-05-04 14:39:54","Andréa Jéssica Estrada","Manuel Uchoa Neto",139601,excepturi,"2017-07-08 20:23:08",1,,66
"1983-10-17 13:32:58","Heitor Mascarenhas Sobrinho","Sr. Willian Willian Colaço",96,et,"1978-04-27 13:16:09",,1,8
"2017-09-15 21:42:55","Tainara Márcia Colaço","Madalena Dirce Verdara Filho",404054499,quia,"1982-05-19 00:40:29",,1,33088
"1984-10-29 06:07:35","Srta. Heloise Carrara","Heitor Juliano de Aguiar",1,aut,"2009-09-13 21:03:39",,1,767
"2019-03-24 13:55:44","Dr. Regina Rico","Rogério Edson Garcia",593522484,quisquam,"2004-05-30 12:49:55",1,1,189510817
"1980-05-07 01:35:07","Naiara Sales Domingues Filho","Adriana Talita Camacho Neto",776,eligendi,"2013-08-07 03:09:36",1,,65902
"1991-06-20 08:15:58","Poliana Mendonça","Antônio Barreto Sobrinho",348896,quisquam,"1991-03-17 16:44:48",1,1,581390
"2009-10-08 05:25:44","Victor Aranda Prado Filho","Tomás Marques Vieira",905218341,velit,"1996-02-14 14:31:48",,1,43891
"2017-03-13 21:12:30","Cecília Fabiana Barros","Sr. Horácio Mendonça Sobrinho",4869748,alias,"1993-01-05 13:26:13",1,,4084618
"1986-12-16 02:23:38","Sr. Josué Cruz","Franciele Ramos",276,accusamus,"2015-04-24 07:55:53",,,0
"2005-10-07 03:29:21","Mateus Saraiva das Dores Sobrinho","Srta. Fernanda Luciana das Dores Jr.",824,commodi,"1994-07-08 14:46:50",1,,55401
"1984-07-30 01:16:12","Kamila Isis Dias Neto","Violeta Vieira",25,illum,"1978-10-26 01:52:20",,1,50
"2000-08-27 01:18:43","Maurício Saito Sanches Jr.","Giovana Valência Neto",20,sit,"1991-06-19 12:21:19",,1,911595
"2019-08-16 08:27:56","Suzana Valdez Vasques","Dr. Emerson Galvão Molina Jr.",479383,fugit,"1976-04-28 21:38:50",1,1,6414
"1997-04-15 23:37:43","Martinho Salazar Ávila","Thomas Dias Rico Jr.",3596,optio,"1986-07-25 07:56:50",1,1,250675337
"1997-12-13 22:09:41","Mirella Eva Maldonado Jr.","Dr. Rodolfo Galindo Galindo Filho",75610,aut,"2020-05-03 19:04:53",,,633319079
"1988-08-26 03:33:17","Dr. Isabelly Correia Neto","Srta. Maiara Sandoval",218828,possimus,"1985-07-23 05:26:24",1,,99710195
"2007-05-31 21:18:39","Dr. Dante Camilo Ramires","Daiana Ortiz Queirós",0,quia,"1974-05-29 22:03:07",,,825976
"2002-10-16 19:48:23","Dr. Eloá Juliane Lourenço Filho","Srta. Luara Eliane Godói Jr.",37341,ut,"1992-04-01 12:10:42",,1,1586928
"1972-11-12 01:10:07","Srta. Mari Fontes","Allan Branco",949958289,minima,"1988-03-10 03:38:36",,,921
"2005-01-16 13:35:38","Richard Prado Neto","Dr. Marco Verdugo",13313,corrupti,"2005-12-29 20:21:32",,1,69
"2019-12-01 15:30:34","Sra. Elizabeth Pereira Filho","Srta. Estela Torres da Cruz",3367,ipsum,"2009-11-22 20:55:51",1,1,490981
"1991-01-24 04:38:25","Maiara Paz Filho","Dr. Renan Rios",436,voluptates,"2016-07-22 04:05:44",,,28044
"2015-05-23 00:31:14","Sra. Catarina Ferreira","Sueli Bianca Reis Filho",5788066,magni,"2004-07-01 03:10:57",1,,79
"1978-05-01 07:00:13","Sr. Bruno Cláudio Cortês","Sra. Daniella Antonieta Torres Jr.",6234,corrupti,"2015-01-14 15:21:26",,,11108
"1994-12-18 10:01:11","Dr. Dener Teles Delatorre","Giovane Rosa Verdara Filho",331524916,aut,"2014-10-23 21:29:08",,,2292194
"2019-02-14 11:30:08","Juliana Benites","Sra. Stella Ariana Ferreira",251,porro,"1973-06-09 15:58:20",,1,84
"2013-09-22 10:04:50","Gabriela Barros","Bella Carla Serna",20812,mollitia,"1978-12-13 19:26:15",1,1,2
"1995-01-12 00:39:03","Luiz Valente Galindo","Ivana Gonçalves Cortês",6,aut,"1994-01-18 16:00:11",,,88532
"2008-03-20 22:31:15","Sr. Rogério Reinaldo Abreu","Louise Sara Balestero",98,repellendus,"1998-02-18 21:57:40",1,,736218
"2018-03-17 20:48:22","Dr. Márcio Flores Grego","Srta. Iasmin Salazar Jr.",8,ut,"1982-12-02 01:10:29",1,,55
"1986-04-14 22:39:07","Dr. Regina Faro D'ávila","Emerson Perez",8274992,voluptatibus,"1995-11-20 10:02:26",,1,937211
"2006-09-26 02:58:25","Srta. Yasmin Vega Sobrinho","Dr. Paloma Isabel Faro Neto",399501155,ea,"1988-01-31 22:57:55",1,1,75222
"1994-02-04 06:13:55","Srta. Regina Rebeca Brito","Dr. Moisés da Silva",293989661,occaecati,"2008-02-06 20:44:15",1,1,6757
"2005-04-26 03:47:42","Fabiano Burgos","Sr. Alan Franco Zamana",8038452,aspernatur,"2013-05-30 05:56:02",1,,397
"1998-06-24 06:33:20","Josué Urias Verdara","Cláudia Zamana Bittencourt",5207,officia,"1988-08-10 09:28:14",1,1,97
"2018-03-11 05:57:08","Srta. Andréa Queirós Jr.","Sr. Miguel Horácio Vila",245839820,quas,"1975-07-25 01:02:23",1,,79833691
"1996-04-23 01:44:15","Hugo Aragão","Dr. Henrique Jean Flores Jr.",82,cupiditate,"2009-06-20 19:13:42",1,,5683
"1997-05-23 05:33:45","Graziela Roque","Dr. Cauan Sanches Sobrinho",77,iure,"1989-06-08 22:18:05",1,,4
"1992-02-04 03:20:43","Thales Toledo Jr.","Jonas Martines",56306903,eveniet,"1998-10-02 12:09:10",,1,66224093
"1990-08-29 02:40:40","Ricardo Jácomo Alcantara Jr.","Francisco Corona Fidalgo Jr.",60701,voluptatem,"1985-10-18 14:19:13",,,20408
"1981-10-29 02:21:16","Sr. Valentin Natan Vega","Rafael Aaron Mendes Neto",1080837,id,"1989-07-21 20:52:18",1,1,1481
"2009-10-17 10:47:15","Nathalia Mônica Sandoval","Dr. Benjamin Raphael Urias",7773148,dolor,"2019-06-12 22:21:08",,,5226
"1973-02-12 19:09:31","Sr. Cristiano Faria Fidalgo Sobrinho","Sophie Lozano Sobrinho",545713,et,"1982-08-23 18:38:32",,,9828
"1978-08-13 10:34:53","Rodrigo Montenegro de Arruda","Mariana Torres Jr.",18,reiciendis,"1976-03-13 00:43:57",1,1,39
"2017-10-27 04:01:31","Edilson Caldeira Furtado Filho","Stella Naomi Flores Filho",4032,ipsam,"1996-02-18 04:32:37",1,,65441
"1971-05-24 20:46:50","Breno Maximiano Sanches","Srta. Ariane Saito Sobrinho",285992410,magnam,"2015-12-18 09:21:56",,,30648
"1982-09-25 15:21:29","Dr. Leonardo Fabiano Zamana","Sr. Benício Ferminiano da Rosa Jr.",6,aspernatur,"2008-05-04 11:55:44",,,6443994
"1981-04-01 21:52:45","Dr. Emanuel Joaquin Camacho Neto","Marco Bezerra Fernandes Jr.",57,reiciendis,"2017-05-25 04:14:52",1,1,38
"1974-09-07 10:12:54","Sr. Ivan Faro Galindo Sobrinho","Rodolfo de Aguiar",268,exercitationem,"2017-02-01 02:54:42",1,,258662
"2005-02-21 08:30:20","Dr. Thomas Carvalho Neto","Maraisa D'ávila Leal",4,consequatur,"1975-05-29 05:23:08",1,1,4729
"1974-05-20 00:09:24","Agatha Tainara Lira","Luciana Fidalgo Jr.",48584200,et,"1980-10-10 08:16:21",,1,35785481
"2013-08-08 13:59:03","Dr. Gael Martinho Zamana","João Correia da Rosa Jr.",446,velit,"2002-07-29 10:54:34",1,1,326812964
"1971-01-13 06:09:57","Cecília Michele Romero Filho","Dr. Théo Aragão Oliveira",35841,atque,"2010-12-31 11:02:46",1,,6196375
"2002-05-25 12:36:18","Sebastião Adriano Ferreira Jr.","Sra. Letícia Queirós",385,ipsum,"2017-08-16 20:33:32",,,124419
"2011-06-11 05:20:24","Sr. Moisés Quintana Filho","Elizabeth Galindo",7988143,et,"1977-05-03 22:07:38",1,,13
"1993-09-02 05:59:58","Sr. Heitor Lourenço","Dr. Roberto das Dores Salazar",3073528,laudantium,"1992-09-18 11:35:57",,,9414028
"2018-09-12 14:01:42","Cristiano Velasques de Souza","Sr. Paulo Andres Feliciano Neto",21,accusamus,"1995-04-02 08:22:29",,,9443
"2014-05-28 18:21:03","Artur Meireles Neto","Allison Saito Jr.",3,quis,"2004-03-05 06:24:52",,1,5703
"1996-08-18 06:13:57","Maximiano Meireles Sobrinho","Dr. Ayla Joana Faro",69,quae,"1986-05-25 21:28:57",1,,392
"1987-06-21 11:47:14","Jaqueline Emilly Camacho","Juliane Emanuelly Gil",724,delectus,"2001-03-23 12:05:38",,,4
"1987-02-08 14:03:28","Sra. Antonella Vale Filho","Dr. Nicolas Meireles Lourenço",4,molestiae,"2003-07-18 11:24:48",,1,786
"1995-09-13 13:27:15","Cristian Maurício Ferminiano","Elizabeth Azevedo",753181369,sunt,"1970-08-13 07:45:54",,1,62866
"1978-09-29 10:55:56","Dr. Julieta Correia Maia Filho","Diogo Ferraz Saraiva Sobrinho",3,ut,"1999-07-31 07:48:05",,1,1915
"1989-06-22 14:56:16","Tatiana Queirós Carrara Jr.","Dr. Isadora Késia de Arruda Sobrinho",917237,aperiam,"1985-05-04 02:15:05",1,,27700676
"1976-05-18 02:46:22","Dr. Wagner Vasques","Srta. Giovana Rosa Medina",927,iusto,"2006-06-30 02:28:39",1,1,7197697
"1979-01-25 20:53:29","Dr. Mary Torres Arruda Jr.","Dr. Lucio Sales Sobrinho",3,ut,"2016-01-16 17:01:21",1,,549
"2002-05-29 14:27:59","Aaron Nicolas Camacho Filho","Dr. Gean da Rosa Paz",238971202,a,"1974-12-20 19:29:11",,1,1589095
"2000-11-24 23:08:48","Lucio Camilo Vila","Marisa Serrano Ramos Sobrinho",23868100,est,"2004-03-20 10:27:37",1,,43044453
"2004-08-31 08:31:54","Cristian Franco Sobrinho","Srta. Mary Pontes Batista Neto",723570,et,"2005-02-19 02:06:35",1,,55304493
"1991-07-13 21:52:46","Simon Fidalgo","Isaac Ramires Filho",1,magnam,"2006-10-13 18:58:24",1,1,771309167
"1987-03-10 02:10:41","Sr. Andres Gusmão Filho","Sr. Adriel Rangel Filho",87858,rerum,"1970-05-20 10:00:56",,1,49671
"2009-03-18 12:43:51","Srta. Cynthia Pacheco Fonseca","Ian Kauan Cordeiro Filho",99000,aut,"1993-07-30 10:09:05",,1,90811
"2015-05-27 05:24:02","Sra. Norma Rosa","Dr. Tiago Flores",103054169,beatae,"1986-10-28 23:03:17",1,,129
"1997-04-18 19:19:13","Sr. Deivid Matos","Sr. David Pereira Maia",902425,magnam,"2008-03-08 06:44:54",1,,547
"2003-08-04 06:14:11","Sra. Mônica Sophia Galhardo","Cláudia Zaragoça Gomes",455,nemo,"1972-11-05 21:41:27",1,1,86778865
"1975-05-25 03:04:07","Benedito Valente Leon Neto","Dr. Christopher Meireles",865479688,doloribus,"1992-01-06 00:26:55",,1,11
"1986-11-16 02:46:36","Sra. Beatriz Barros Neto","Srta. Maya Luiza Fidalgo Filho",851,quia,"2014-10-28 02:17:11",,,4
"2013-12-13 04:46:27","Dr. Luan Prado Filho","Adriana Ferminiano Filho",6,quas,"1983-10-15 14:23:30",,,33214
"1988-03-12 18:03:15","Dr. Léia Ferreira da Rosa","Sr. Edilson Luan Rios Filho",64638800,atque,"1989-09-29 13:25:17",1,1,314334750
"1996-09-12 01:30:46","Srta. Flávia Fontes Sobrinho","Eva Gabi Assunção Sobrinho",822,voluptatem,"1981-04-18 04:49:16",1,,7607228
"2011-01-18 07:12:11","Dr. Kléber Maldonado Sandoval Sobrinho","Rosana Madeira Pacheco",94310,sint,"1979-12-23 03:47:19",1,1,17095370
"2008-12-12 13:30:51","Sra. Helena Faria Solano Sobrinho","Maiara Betina Franco Neto",97367,asperiores,"1990-09-19 14:15:54",,,59150
"1994-03-27 13:58:11","Júlia Cruz","Srta. Pérola Delatorre Flores",9,porro,"1986-03-20 02:49:20",,,447728745
"2013-09-11 20:44:28","Emanuel Verdugo Molina","Carla Sara Faria",88007526,quo,"2006-08-18 08:38:02",1,1,66306
"1986-06-19 23:07:52","Srta. Luiza Emily Alcantara Jr.","Agatha Padrão de Souza",4,at,"1988-12-11 01:54:19",1,1,9825348
"1988-08-09 20:57:41","Sra. Rebeca Gonçalves Benez","Srta. Ayla Marinho Carrara Filho",3178040,voluptas,"1973-09-22 04:31:55",,,165485896
"2019-06-27 15:26:43","Dr. Rosana Marques Ramos Filho","Samara Torres Toledo Neto",3058,omnis,"1998-01-23 07:26:14",1,,72505091
"2007-06-28 10:43:07","Sr. Agostinho Dante Lira","Dr. Luciana Olga de Aguiar",213,necessitatibus,"1971-02-28 12:42:32",,,24408766
"2011-11-12 12:57:25","Dr. Rayane Amaral","Srta. Manuela Marques",1979049,est,"2003-02-18 01:31:34",,,49587
"1978-10-07 15:39:14","Maurício Faro Correia Filho","Christopher Martines",649538468,est,"1999-03-20 09:41:30",1,,19
"1987-09-18 20:15:01","Sr. Kauan Quintana Queirós Jr.","Sra. Emília Marisa Ramos Sobrinho",65229,quisquam,"2015-06-18 10:37:19",,1,3695
"2020-01-07 13:48:24","Cristiano Ferraz Verdara Jr.","Dr. Sara Ferreira Correia Filho",77927777,qui,"2006-03-23 07:13:00",,,758
"2019-11-23 15:56:58","Dr. Paulo Sepúlveda Neto","Flávio de Arruda Filho",9358,beatae,"2000-07-29 23:55:01",,1,590
"2000-06-11 22:26:42","Stefany Ferreira Vale Filho","Cléber Arruda Neto",204586694,ea,"2021-09-04 08:24:03",,,287
"1978-10-16 19:23:05","Raphael Lucas Galhardo","Tessália Pacheco Filho",80630585,sunt,"1973-08-01 20:44:45",1,,860
"1974-07-28 16:14:57","Sr. Nero Sepúlveda Santos","Ícaro Furtado",27329139,architecto,"2000-12-06 04:11:43",,,4
"2004-06-15 14:35:55","Dr. Jácomo Serra Fernandes","Dr. Sérgio Chaves Sobrinho",83732532,facere,"2002-05-06 15:46:23",1,1,36
"2007-11-12 20:55:59","Dr. Maya Ferminiano Jr.","Juliane Cordeiro Valência Jr.",6,sit,"1982-08-05 12:18:06",1,,58776
"2012-06-23 15:06:31","Dr. Simon Serna Pontes","Dr. Constância Leal Marques",56496910,molestiae,"2019-08-26 16:46:30",1,1,5718667
"2016-03-11 20:35:32","Srta. Sueli Martines Lira","Benício Maximiano Carmona",754,molestiae,"2017-11-09 03:42:19",1,1,1
"1972-01-10 05:18:16","Moisés Soares Jr.","Sr. Yuri Tomás Campos",823060,perferendis,"2018-11-18 21:58:33",1,1,1
"1992-04-30 03:07:47","Leandro Thiago Mendes","Srta. Ingrid Daniele Jimenes Sobrinho",88,ut,"2014-12-17 07:45:23",1,,22
"2000-06-27 18:31:14","Alexandre Delatorre Grego","Dr. Giovane Ramos Rico",89,unde,"1980-04-16 21:52:06",1,1,608294
"1992-07-03 04:43:16","Dr. Gabrielly Correia","Sr. Sérgio Luiz Molina",464598756,ratione,"2019-12-04 14:29:13",1,1,55788533
"1995-09-10 16:28:23","Sra. Maísa Gusmão Jr.","Benjamin Téo Valência Neto",6163,occaecati,"1993-11-24 14:13:32",,1,6
"1988-04-12 03:55:50","Wilson Sanches","Elis Ferreira Teles Filho",859654,repellat,"2003-01-04 04:45:22",1,1,199323
"2020-12-26 21:02:01","Edson Cauan Corona Jr.","Dr. Cristina Cláudia Vega",269338188,aut,"1988-09-02 22:01:32",,,24923
"1973-03-09 18:40:54","Sr. Thales Rocha","Regiane Salazar Faria Jr.",703,voluptatem,"1988-04-17 05:10:58",1,,13495
"1991-05-03 13:02:49","Sr. Nicolas Luciano das Dores","Srta. Yohanna de Oliveira Colaço Sobrinho",68582601,provident,"1991-07-22 20:40:18",,1,57
"1975-02-10 01:14:17","Sr. Horácio das Dores de Arruda","Simão Pontes Pena",760794538,et,"2004-03-16 03:43:50",1,,788788377
"1971-04-04 00:19:55","Marta Giovanna Paes","Srta. Betina Verônica Rios Sobrinho",40,doloremque,"2016-10-14 13:12:44",1,1,92
"2017-04-30 19:53:21","Carlos Elias Balestero","Dr. Kevin Diego Marinho Sobrinho",241,qui,"1994-11-09 02:40:20",1,,69925927
"2006-01-13 03:27:22","Sr. Alonso Augusto Santacruz","Daniella das Dores Filho",7227786,id,"2003-07-30 16:10:01",,,254319320
"1989-08-16 06:32:02","Théo de Aguiar Galindo","Srta. Lia Madeira",74,numquam,"2014-03-30 10:00:24",1,1,846066987
"1989-05-14 08:50:12","Dr. Alan Cordeiro Ávila Filho","Srta. Ohana Hortência Lozano",8922038,expedita,"1987-11-29 05:33:03",1,,9714
"2014-10-26 15:27:31","Dr. Eloá Pacheco Filho","Sra. Ivana Amaral Mendonça Jr.",377877,porro,"1987-01-27 13:53:03",1,,323
"1980-07-14 05:45:55","Rodrigo James Pereira","Dr. Nicolas Vasques Filho",174424,iste,"1976-03-06 22:52:32",1,,6479721
"2003-11-01 13:52:14","Sra. Rayane Cervantes","Srta. Michele Valentin Neto",44990041,sint,"1995-08-12 16:44:49",1,,165961499
"2001-10-22 09:06:45","Dr. Samanta Vega","Sr. André Solano Molina",34,nam,"1999-08-19 17:59:11",1,1,68654
"1998-09-20 12:45:23","Sra. Regiane Louise Queirós Sobrinho","Srta. Angélica Pontes Neto",9521052,ex,"1994-12-06 00:24:17",1,,0
"1971-12-03 03:52:07","Dr. Danilo Fabrício Ferreira Filho","Gabrielle Luzia Marques",758108,numquam,"1996-10-19 15:14:19",1,,476528
"1989-09-10 21:10:42","Sr. Renato Sanches Reis","Dr. Emilly Danielle Valente Filho",22041,pariatur,"1997-12-11 02:55:08",1,,383
"1977-06-03 16:17:27","Flávia Domingues","Karina Alves Padrão",737458,magnam,"2001-01-31 20:49:39",,1,457051
"2020-12-22 15:46:22","Miriam Lovato","Sr. Christian de Freitas",235067105,accusamus,"2018-12-04 04:09:38",1,1,869
"2009-01-12 19:38:12","Sra. Eduarda Faria Jr.","Marta Teles Rivera Sobrinho",2197359,id,"1971-01-07 13:23:54",,,734999278
"1979-07-17 17:16:33","Ayla Torres Sobrinho","Dr. Sarah Fonseca Fontes",8798010,et,"1986-04-28 03:03:46",,1,91004
"1976-02-15 19:54:56","Sra. Mirela Medina Chaves Neto","Andres Carvalho Salas Jr.",82631,est,"2008-05-10 20:44:01",,1,754
"2005-06-15 07:31:53","Mariah Pena Vila","Aparecida Teles Jr.",1224997,enim,"1996-02-22 20:11:33",1,,32
"2016-07-09 16:25:03","Sra. Raissa Sandoval Fidalgo Sobrinho","Sr. Ivan Leon",48527866,qui,"2003-09-10 14:18:03",1,1,33439267
"1986-08-13 09:17:07","Fabrício Reis Jr.","Dr. Maísa Oliveira Neto",28391,non,"1977-08-02 00:00:49",1,1,28489948
"2021-10-03 05:32:18","Augusto Dominato","Noelí Neves",7,excepturi,"1983-09-12 22:54:22",1,1,8449361
"1994-09-21 04:42:50","Srta. Malena Laura da Silva Neto","Sra. Sônia Bezerra Neto",6864854,et,"1995-07-06 00:57:47",,,820757
"1989-01-29 18:05:26","Isis Louise Camacho","Santiago Estrada Amaral Sobrinho",84913,ut,"1978-09-05 11:06:54",1,1,3909
"1981-01-13 08:16:04","Srta. Sabrina Micaela Queirós","James Renan Arruda",25436878,enim,"2013-02-12 14:17:13",,,2844985
"1983-03-06 07:01:15","Dr. Breno Branco Jr.","Sra. Isabelly Jimenes Jr.",807,aperiam,"1987-03-12 13:39:30",1,,358
"1995-01-28 08:28:27","Sra. Paulina Guerra Perez Filho","Samuel Carrara Ávila Filho",4,ipsam,"1991-07-05 21:32:41",,1,180282
"2003-01-22 01:53:42","Srta. Emilly Esther Galhardo Sobrinho","Jefferson Ricardo Ferreira",673,perspiciatis,"1986-08-15 10:04:21",,1,89834
"2021-02-08 14:09:03","Sr. Fernando Sandro Bittencourt Neto","Dr. Dayana Teles Pena",36567,minus,"2018-12-05 13:15:21",1,,595
"2014-05-13 07:38:32","Sabrina Reis","Sr. Giovane Zambrano Jr.",9051,fuga,"1989-01-21 09:20:15",1,1,49024
"1989-07-03 23:18:14","Srta. Daiana Bittencourt Marinho","Sr. Mauro Rico",938373,nesciunt,"2017-01-17 23:29:45",,,39
"1976-06-15 23:03:24","Sra. Isadora Roque Campos","Rogério Vale Carmona",60206,ut,"1990-01-21 11:30:03",,,284297
